Welcome to DrJava.  Working directory is /Users/Hennessy/algs4/project2/doubleValues/heapsort
> run DoublingRatio
   250     0.0   1.0
   500     0.0   2.0
  1000     0.0   1.0
  2000     0.0   0.0
  4000     0.0 Infinity
  8000     0.0   2.0
 16000     0.0   1.0
 32000     0.0   2.0
 64000     0.0   1.8
128000     0.0   2.6
256000     0.0   2.3
512000     0.1   2.1
1024000     0.2   2.3
2048000     0.5   2.4
4096000     1.1   2.4
8192000     2.6   2.3
16384000     5.6   2.1
32768000    12.5   2.2
65536000    28.6   2.3
131072000    65.8   2.3
262144000   152.3   2.3
524288000   353.4   2.3
> 

